"","score","rank","ethnicity","gender","language","age","cls_perc_eval","cls_did_eval","cls_students","cls_level","cls_profs","cls_credits","bty_f1lower","bty_f1upper","bty_f2upper","bty_m1lower","bty_m1upper","bty_m2upper","bty_avg","pic_outfit","pic_color"
"209",4.8,"tenured","not minority","male","english",60,73.52941,25,34,"upper","multiple","multi credit",4,4,6,2,2,4,3.667,"not formal","color"
"210",4.8,"tenured","not minority","male","english",60,75,12,16,"upper","single","multi credit",4,4,6,2,2,4,3.667,"not formal","color"
"211",4.6,"tenured","not minority","male","english",60,78.57143,11,14,"upper","single","multi credit",4,4,6,2,2,4,3.667,"not formal","color"
"212",4.6,"tenured","not minority","male","english",60,66.66666,8,12,"upper","single","multi credit",4,4,6,2,2,4,3.667,"not formal","color"
"213",4.8,"tenured","not minority","male","english",60,61.53846,24,39,"upper","single","multi credit",4,4,6,2,2,4,3.667,"not formal","color"
"214",4.4,"tenured","not minority","male","english",60,42.85714,15,35,"upper","single","multi credit",4,4,6,2,2,4,3.667,"not formal","color"
"215",4.7,"tenured","not minority","male","english",60,68.88889,31,45,"upper","multiple","multi credit",4,4,6,2,2,4,3.667,"not formal","color"
"216",4.7,"tenured","not minority","male","english",60,80,36,45,"lower","multiple","multi credit",4,4,6,2,2,4,3.667,"not formal","color"
"217",3.3,"tenure track","not minority","male","english",37,88.23529,15,17,"upper","single","multi credit",4,8,7,5,5,8,6.167,"not formal","color"
"218",4.4,"tenure track","not minority","male","english",42,92.85714,13,14,"upper","multiple","multi credit",3,5,3,3,6,4,4,"not formal","color"
"219",4.3,"tenure track","not minority","male","english",42,100,14,14,"upper","multiple","multi credit",3,5,3,3,6,4,4,"not formal","color"
"220",4.9,"tenure track","not minority","male","english",42,92.85714,13,14,"upper","multiple","multi credit",3,5,3,3,6,4,4,"not formal","color"
"221",4.4,"tenure track","not minority","male","english",42,100,12,12,"upper","multiple","multi credit",3,5,3,3,6,4,4,"not formal","color"
"222",4.7,"tenure track","not minority","male","english",42,86.66666,13,15,"upper","multiple","multi credit",3,5,3,3,6,4,4,"not formal","color"
"223",4.3,"tenured","not minority","male","english",35,82.35294,42,51,"upper","single","multi credit",4,7,2,6,4,6,4.833,"not formal","color"
"224",4.8,"tenured","not minority","male","english",35,91.30434,21,23,"lower","multiple","multi credit",4,7,2,6,4,6,4.833,"not formal","color"
"225",4.5,"tenured","not minority","male","english",35,85.96491,49,57,"upper","single","multi credit",4,7,2,6,4,6,4.833,"not formal","color"
"226",4.7,"tenured","not minority","male","english",35,88,44,50,"lower","multiple","multi credit",4,7,2,6,4,6,4.833,"not formal","color"
"227",3.3,"teaching","not minority","female","english",39,91.66666,22,24,"lower","single","multi credit",8,8,8,7,9,9,8.167,"not formal","color"
"228",4.7,"teaching","not minority","female","english",39,78.26087,18,23,"upper","multiple","multi credit",8,8,8,7,9,9,8.167,"not formal","color"
"229",4.6,"teaching","not minority","female","english",39,86.95652,20,23,"upper","multiple","multi credit",8,8,8,7,9,9,8.167,"not formal","color"
"230",3.6,"teaching","not minority","female","english",39,96.42857,27,28,"lower","single","multi credit",8,8,8,7,9,9,8.167,"not formal","color"
"231",4,"tenured","not minority","male","english",49,62.22222,28,45,"upper","single","multi credit",6,6,7,6,9,5,6.5,"formal","color"
"232",4.1,"tenured","not minority","male","english",49,64.28571,27,42,"upper","single","multi credit",6,6,7,6,9,5,6.5,"formal","color"
"233",4,"tenured","not minority","male","english",49,85.96491,49,57,"upper","single","multi credit",6,6,7,6,9,5,6.5,"formal","color"
"234",4.5,"tenured","not minority","male","english",61,81.48148,22,27,"lower","single","multi credit",5,5,4,4,5,6,4.833,"formal","color"
"235",4.6,"tenured","not minority","male","english",61,81.57895,31,38,"upper","multiple","multi credit",5,5,4,4,5,6,4.833,"formal","color"
"236",4.8,"tenured","not minority","male","english",61,86.36364,19,22,"lower","single","multi credit",5,5,4,4,5,6,4.833,"formal","color"
"237",4.6,"tenured","not minority","male","english",61,62.7907,27,43,"upper","multiple","multi credit",5,5,4,4,5,6,4.833,"formal","color"
"238",4.9,"tenure track","not minority","male","english",33,96.77419,30,31,"upper","single","multi credit",7,8,7,6,7,7,7,"formal","color"
"239",3.1,"tenure track","not minority","male","english",33,92.30769,12,13,"upper","single","multi credit",7,8,7,6,7,7,7,"formal","color"
"240",3.7,"tenure track","not minority","male","english",33,86.66666,13,15,"upper","single","multi credit",7,8,7,6,7,7,7,"formal","color"
"241",3.7,"tenured","not minority","female","english",58,76.47059,26,34,"upper","single","multi credit",3,6,7,2,4,6,4.667,"formal","black&white"
"242",3.9,"tenured","not minority","female","english",56,63.15789,12,19,"upper","single","multi credit",2,4,4,4,3,6,3.833,"formal","color"
"243",3.9,"tenured","not minority","female","english",56,80,16,20,"upper","single","multi credit",2,4,4,4,3,6,3.833,"formal","color"
"244",3.2,"tenured","not minority","female","english",56,73.91304,17,23,"upper","single","multi credit",2,4,4,4,3,6,3.833,"formal","color"
"245",4.4,"teaching","not minority","female","english",50,81.48148,22,27,"lower","single","multi credit",2,3,5,2,3,4,3.167,"not formal","color"
"246",4.2,"teaching","not minority","female","english",50,75,24,32,"lower","single","one credit",2,3,5,2,3,4,3.167,"not formal","color"
"247",4.7,"teaching","not minority","female","english",50,66.66666,14,21,"lower","single","one credit",2,3,5,2,3,4,3.167,"not formal","color"
"248",3.9,"teaching","not minority","female","english",50,95.83334,23,24,"upper","multiple","multi credit",2,3,5,2,3,4,3.167,"not formal","color"
"249",3.6,"teaching","not minority","female","english",50,90.47619,19,21,"upper","multiple","multi credit",2,3,5,2,3,4,3.167,"not formal","color"
"250",3.4,"teaching","not minority","female","english",50,64.28571,18,28,"upper","multiple","multi credit",2,3,5,2,3,4,3.167,"not formal","color"
"251",4.4,"teaching","not minority","female","english",50,79.31035,23,29,"upper","multiple","multi credit",2,3,5,2,3,4,3.167,"not formal","color"
"252",4.4,"tenured","not minority","male","english",52,85.07462,57,67,"upper","multiple","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"253",4.1,"tenured","not minority","male","english",52,91.01124,81,89,"upper","multiple","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"254",3.6,"tenured","not minority","male","english",52,90.2439,74,82,"upper","multiple","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"255",3.5,"tenured","not minority","male","english",52,83.60656,102,122,"upper","multiple","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"256",4.1,"tenured","not minority","male","english",52,71.75572,94,131,"upper","multiple","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"257",3.8,"tenured","not minority","male","english",52,78.07018,89,114,"upper","multiple","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"258",4,"tenured","not minority","male","english",52,89.26174,133,149,"upper","multiple","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"259",4.8,"tenured","not minority","male","english",52,95.65218,22,23,"upper","single","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"260",4.2,"tenured","not minority","male","english",52,79.59184,78,98,"upper","multiple","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"261",4.6,"tenured","not minority","male","english",52,81.48148,22,27,"upper","single","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"262",4.3,"tenured","not minority","male","english",52,90,27,30,"upper","single","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"263",4.8,"tenured","not minority","male","english",52,90,27,30,"upper","single","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"264",3.8,"tenured","not minority","male","english",52,86.95652,60,69,"upper","multiple","multi credit",4,3,5,2,2,3,3.167,"not formal","color"
"265",4.5,"tenure track","not minority","female","english",33,66.66666,10,15,"upper","multiple","multi credit",3,7,9,4,5,7,5.833,"not formal","black&white"
"266",4.9,"tenure track","not minority","female","english",33,100,10,10,"upper","multiple","multi credit",3,7,9,4,5,7,5.833,"not formal","black&white"
"267",4.9,"tenure track","not minority","female","english",33,90.90909,10,11,"upper","multiple","multi credit",3,7,9,4,5,7,5.833,"not formal","black&white"
"268",4.8,"tenure track","not minority","female","english",33,71.42857,10,14,"upper","multiple","multi credit",3,7,9,4,5,7,5.833,"not formal","black&white"
"269",4.7,"tenure track","not minority","female","english",33,63.63636,7,11,"upper","multiple","multi credit",3,7,9,4,5,7,5.833,"not formal","black&white"
"270",4.6,"tenure track","not minority","female","english",33,100,14,14,"upper","multiple","multi credit",3,7,9,4,5,7,5.833,"not formal","black&white"
"271",4.3,"tenured","not minority","male","english",57,89.61039,69,77,"upper","multiple","multi credit",5,6,6,5,7,5,5.667,"not formal","black&white"
"272",4.4,"tenured","not minority","male","english",57,87.80488,36,41,"upper","single","multi credit",5,6,6,5,7,5,5.667,"not formal","black&white"
"273",4.5,"tenured","not minority","male","english",57,81.81818,72,88,"upper","multiple","multi credit",5,6,6,5,7,5,5.667,"not formal","black&white"
"274",4.2,"tenured","not minority","male","english",57,80.76923,63,78,"upper","multiple","multi credit",5,6,6,5,7,5,5.667,"not formal","black&white"
"275",4.8,"tenured","not minority","female","english",38,70.76923,46,65,"upper","single","multi credit",6,8,9,4,5,7,6.5,"formal","black&white"
"276",4.6,"tenured","not minority","female","english",38,69.42675,109,157,"lower","multiple","multi credit",6,8,9,4,5,7,6.5,"formal","black&white"
"277",4.9,"tenured","not minority","female","english",38,79.41177,54,68,"upper","single","multi credit",6,8,9,4,5,7,6.5,"formal","black&white"
"278",4.8,"tenured","not minority","female","english",38,76.1194,51,67,"upper","single","multi credit",6,8,9,4,5,7,6.5,"formal","black&white"
"279",4.8,"tenured","not minority","female","english",38,76.25,61,80,"upper","single","multi credit",6,8,9,4,5,7,6.5,"formal","black&white"
"280",4.6,"tenured","not minority","female","english",38,74.45255,102,137,"lower","multiple","multi credit",6,8,9,4,5,7,6.5,"formal","black&white"
"281",4.7,"tenured","not minority","female","english",38,84.05797,58,69,"upper","multiple","multi credit",6,8,9,4,5,7,6.5,"formal","black&white"
"282",4.1,"tenure track","not minority","female","english",34,59.34066,54,91,"lower","multiple","multi credit",2,1,4,1,1,1,1.667,"not formal","color"
"283",3.8,"tenure track","not minority","female","english",34,57.5,46,80,"lower","multiple","multi credit",2,1,4,1,1,1,1.667,"not formal","color"
"284",4,"tenure track","not minority","female","english",34,58.88889,53,90,"lower","multiple","multi credit",2,1,4,1,1,1,1.667,"not formal","color"
"285",4.1,"tenure track","not minority","female","english",34,55.88235,19,34,"upper","multiple","multi credit",2,1,4,1,1,1,1.667,"not formal","color"
"286",4,"tenure track","not minority","female","english",34,56.16438,41,73,"upper","multiple","multi credit",2,1,4,1,1,1,1.667,"not formal","color"
"287",4.1,"tenure track","not minority","female","english",34,56.81818,25,44,"upper","multiple","multi credit",2,1,4,1,1,1,1.667,"not formal","color"
"288",3.5,"tenure track","not minority","male","english",34,66.66666,24,36,"upper","multiple","multi credit",6,7,7,6,8,6,6.667,"not formal","color"
"289",4.1,"tenure track","not minority","male","english",34,80,16,20,"upper","single","multi credit",6,7,7,6,8,6,6.667,"not formal","color"
"290",3.6,"tenure track","not minority","male","english",34,57.14286,20,35,"lower","multiple","multi credit",6,7,7,6,8,6,6.667,"not formal","color"
"291",4,"tenure track","not minority","male","english",32,34.27419,85,248,"lower","multiple","multi credit",3,7,3,3,3,3,3.667,"formal","black&white"
"292",3.9,"tenure track","not minority","male","english",32,41.07143,69,168,"lower","multiple","multi credit",3,7,3,3,3,3,3.667,"formal","black&white"
"293",3.8,"tenure track","not minority","male","english",32,39.67611,98,247,"lower","multiple","multi credit",3,7,3,3,3,3,3.667,"formal","black&white"
"294",4.4,"tenure track","not minority","male","english",32,90.90909,20,22,"upper","single","multi credit",3,8,3,3,3,3,3.833,"formal","black&white"
"295",4.7,"tenure track","not minority","male","english",32,69.90292,72,103,"upper","multiple","multi credit",3,8,3,3,3,3,3.833,"formal","black&white"
"296",3.8,"tenured","not minority","female","english",42,70.96774,44,62,"lower","multiple","multi credit",5,5,8,6,8,5,6.167,"not formal","color"
"297",4.1,"tenured","not minority","female","english",42,62.19512,51,82,"upper","multiple","multi credit",5,5,8,6,8,5,6.167,"not formal","color"
"298",4.1,"tenured","not minority","female","english",43,68.62745,35,51,"lower","multiple","multi credit",2,3,5,3,3,4,3.333,"not formal","color"
"299",4.7,"tenured","not minority","female","english",43,51.42857,18,35,"upper","multiple","multi credit",2,3,5,3,3,4,3.333,"not formal","color"
"300",4.3,"tenured","not minority","female","english",43,76.47059,26,34,"lower","multiple","multi credit",2,3,5,3,3,4,3.333,"not formal","color"
"301",4.4,"tenured","not minority","female","english",43,75.67567,28,37,"lower","multiple","multi credit",2,3,5,3,3,4,3.333,"not formal","color"
"302",4.5,"tenured","not minority","female","english",43,92.85714,13,14,"lower","multiple","multi credit",2,3,5,3,3,4,3.333,"not formal","color"
"303",3.1,"tenured","not minority","female","english",43,65.41354,174,266,"lower","multiple","multi credit",2,3,5,3,3,4,3.333,"not formal","color"
"304",3.7,"tenured","not minority","female","english",43,67.32284,171,254,"lower","multiple","multi credit",2,3,5,3,3,4,3.333,"not formal","color"
"305",4.5,"tenured","not minority","female","english",43,76.92308,10,13,"upper","multiple","multi credit",2,3,5,3,3,4,3.333,"not formal","color"
"306",3,"tenured","not minority","female","english",43,58.86525,166,282,"lower","multiple","multi credit",2,3,5,3,3,4,3.333,"not formal","color"
"307",4.6,"tenured","not minority","female","english",43,100,17,17,"upper","multiple","multi credit",2,3,5,3,3,4,3.333,"not formal","color"
"308",3.7,"tenure track","not minority","male","non-english",35,57.89474,11,19,"upper","single","multi credit",4,3,3,4,3,5,3.667,"not formal","black&white"
"309",3.6,"tenure track","not minority","male","non-english",35,52.38095,22,42,"lower","multiple","multi credit",4,3,3,4,3,5,3.667,"not formal","black&white"
"310",3.2,"tenured","not minority","female","english",62,81.48148,22,27,"upper","multiple","multi credit",1,5,5,1,4,5,3.5,"not formal","color"
"311",3.3,"tenured","not minority","female","english",62,56.25,9,16,"upper","multiple","multi credit",1,5,5,1,4,5,3.5,"not formal","color"
"312",2.9,"tenured","not minority","female","english",62,73.68421,14,19,"upper","multiple","multi credit",1,5,5,1,4,5,3.5,"not formal","color"
"313",4.2,"tenured","not minority","male","english",42,52.32558,45,86,"upper","multiple","multi credit",3,1,6,1,1,4,2.667,"not formal","color"
"314",4.5,"tenured","not minority","male","english",39,75.86207,22,29,"upper","multiple","multi credit",5,8,6,4,5,6,5.667,"not formal","color"
"315",3.8,"tenured","not minority","female","english",52,72.72727,64,88,"upper","multiple","multi credit",5,7,7,3,8,6,6,"formal","black&white"
"316",3.7,"tenured","not minority","female","english",52,71.42857,70,98,"upper","multiple","multi credit",5,7,7,3,8,6,6,"formal","black&white"
"317",3.7,"tenured","not minority","female","english",52,70.45454,31,44,"upper","multiple","multi credit",6,7,9,5,6,6,6.5,"not formal","black&white"
"318",4,"tenured","not minority","female","english",52,75.38461,49,65,"upper","multiple","multi credit",6,7,9,5,6,6,6.5,"not formal","black&white"
"319",3.7,"tenured","not minority","female","english",52,50.79365,32,63,"upper","multiple","multi credit",6,7,9,5,6,6,6.5,"not formal","black&white"
"320",4.5,"teaching","not minority","female","english",52,78.66666,59,75,"upper","multiple","multi credit",2,3,4,2,1,2,2.333,"not formal","color"
"321",3.8,"teaching","not minority","female","english",52,81.39535,35,43,"upper","multiple","multi credit",2,3,4,2,1,2,2.333,"not formal","color"
"322",3.9,"teaching","not minority","female","english",52,73.75,59,80,"upper","multiple","multi credit",2,3,4,2,1,2,2.333,"not formal","color"
"323",4.6,"teaching","not minority","female","english",52,86.53846,45,52,"upper","multiple","multi credit",2,3,4,2,1,2,2.333,"not formal","color"
"324",4.5,"teaching","not minority","female","english",52,70.83334,34,48,"upper","multiple","multi credit",2,3,4,2,1,2,2.333,"not formal","color"
"325",4.2,"teaching","not minority","female","english",52,75.75758,50,66,"upper","multiple","multi credit",2,3,4,2,1,2,2.333,"not formal","color"
"326",4,"teaching","not minority","female","english",52,67,67,100,"upper","multiple","multi credit",2,3,4,2,1,2,2.333,"not formal","color"
"327",3.8,"tenured","not minority","male","english",64,81.81818,9,11,"upper","multiple","multi credit",2,3,3,2,1,3,2.333,"not formal","color"
"328",3.5,"tenured","not minority","male","english",64,50,8,16,"upper","multiple","multi credit",2,3,3,2,1,3,2.333,"not formal","color"
"329",2.7,"tenured","not minority","male","english",64,81.81818,18,22,"upper","multiple","multi credit",2,3,3,2,1,3,2.333,"not formal","color"
"330",4,"tenured","not minority","male","english",64,45.45454,5,11,"upper","multiple","multi credit",2,3,3,2,1,3,2.333,"not formal","color"
"331",4.6,"tenured","not minority","male","english",64,50,5,10,"upper","multiple","multi credit",2,3,3,2,1,3,2.333,"not formal","color"
"332",3.9,"tenured","not minority","male","english",64,100,16,16,"upper","multiple","multi credit",2,3,3,2,1,3,2.333,"not formal","color"
"333",4.5,"tenured","not minority","male","english",50,93.75,15,16,"upper","multiple","multi credit",6,7,9,6,8,7,7.167,"not formal","color"
"334",3.7,"tenured","not minority","male","english",50,90,9,10,"upper","multiple","multi credit",6,7,9,6,8,7,7.167,"not formal","color"
"335",2.4,"tenured","not minority","male","english",60,71.875,23,32,"upper","multiple","multi credit",1,1,2,2,2,2,1.667,"not formal","color"
"336",3.1,"tenured","not minority","male","english",60,70,7,10,"upper","multiple","multi credit",1,1,2,2,2,2,1.667,"not formal","color"
"337",2.5,"tenured","not minority","male","english",60,62.5,10,16,"upper","multiple","multi credit",1,1,2,2,2,2,1.667,"not formal","color"
"338",3,"tenured","not minority","female","english",51,70.14925,47,67,"upper","multiple","multi credit",4,5,7,4,5,6,5.167,"formal","color"
"339",4.5,"tenure track","not minority","male","english",43,86.36364,19,22,"lower","multiple","multi credit",3,4,4,2,4,4,3.5,"not formal","color"
"340",4.8,"tenure track","not minority","male","english",43,53.57143,15,28,"lower","multiple","one credit",3,4,4,2,4,4,3.5,"not formal","color"
"341",4.9,"tenure track","not minority","male","english",43,60,18,30,"lower","multiple","one credit",3,4,4,2,4,4,3.5,"not formal","color"
"342",4.5,"tenure track","not minority","male","english",43,73.33334,11,15,"lower","multiple","multi credit",3,4,4,2,4,4,3.5,"not formal","color"
"343",4.6,"tenure track","not minority","male","english",43,76.92308,10,13,"lower","multiple","multi credit",3,4,4,2,4,4,3.5,"not formal","color"
"344",4.5,"tenure track","not minority","male","english",43,94.44444,17,18,"lower","multiple","one credit",3,4,4,2,4,4,3.5,"not formal","color"
"345",4.9,"tenure track","not minority","male","english",43,84.61539,22,26,"lower","multiple","one credit",3,4,4,2,4,4,3.5,"not formal","color"
"346",4.4,"tenure track","not minority","male","english",43,60,18,30,"lower","multiple","one credit",3,4,4,2,4,4,3.5,"not formal","color"
"347",4.6,"tenure track","not minority","male","english",43,100,14,14,"lower","multiple","multi credit",3,4,4,2,4,4,3.5,"not formal","color"
"348",4.6,"teaching","minority","male","english",50,70.83334,17,24,"lower","multiple","one credit",1,5,4,1,4,5,3.333,"not formal","color"
"349",5,"teaching","minority","male","english",50,90.90909,20,22,"lower","multiple","one credit",1,5,4,1,4,5,3.333,"not formal","color"
"350",4.9,"teaching","minority","male","english",50,84,21,25,"lower","multiple","one credit",1,5,4,1,4,5,3.333,"not formal","color"
"351",4.6,"teaching","minority","male","english",50,88.46154,23,26,"lower","multiple","one credit",1,5,4,1,4,5,3.333,"not formal","color"
"352",4.8,"teaching","minority","male","english",50,86.36364,19,22,"lower","multiple","one credit",1,5,4,1,4,5,3.333,"not formal","color"
"353",4.9,"teaching","minority","male","english",50,76.92308,20,26,"lower","multiple","one credit",1,5,4,1,4,5,3.333,"not formal","color"
"354",4.9,"teaching","minority","male","english",50,85,17,20,"lower","multiple","one credit",1,5,4,1,4,5,3.333,"not formal","color"
"355",4.9,"teaching","minority","male","english",50,81.81818,18,22,"lower","multiple","one credit",1,5,4,1,4,5,3.333,"not formal","color"
"356",5,"teaching","minority","male","english",50,95.2381,20,21,"lower","multiple","one credit",1,5,4,1,4,5,3.333,"not formal","color"
"357",4.5,"teaching","minority","male","english",50,90.47619,19,21,"lower","multiple","one credit",1,5,4,1,4,5,3.333,"not formal","color"
"358",3.5,"tenured","not minority","male","english",52,66.66666,46,69,"upper","multiple","multi credit",7,6,6,5,5,6,5.833,"not formal","color"
"359",3.8,"tenured","not minority","male","english",52,70.76923,46,65,"upper","multiple","multi credit",7,6,6,5,5,6,5.833,"not formal","color"
"360",3.9,"tenured","not minority","male","english",52,62.90322,39,62,"upper","multiple","multi credit",7,6,6,5,5,6,5.833,"not formal","color"
"361",3.9,"tenured","not minority","male","english",52,50.74627,34,67,"upper","multiple","multi credit",7,6,6,5,5,6,5.833,"not formal","color"
"362",4.2,"tenured","not minority","male","english",52,72.5,29,40,"upper","multiple","multi credit",7,6,6,5,5,6,5.833,"not formal","color"
"363",4.1,"tenured","not minority","male","english",52,60,27,45,"upper","multiple","multi credit",7,6,6,5,5,6,5.833,"not formal","color"
"364",4.8,"tenured","not minority","male","english",51,60.62718,348,574,"lower","multiple","multi credit",6,7,8,6,6,4,6.167,"formal","color"
"365",4.8,"tenured","not minority","male","english",51,64.2487,372,579,"lower","multiple","multi credit",6,7,8,6,6,4,6.167,"formal","color"
"366",4.8,"tenured","not minority","male","english",51,63.87337,343,537,"lower","multiple","multi credit",6,7,8,6,6,4,6.167,"formal","color"
"367",4.8,"tenured","not minority","male","english",51,65.40447,380,581,"lower","multiple","multi credit",6,7,8,6,6,4,6.167,"formal","color"
"368",4.9,"tenured","not minority","male","english",51,61.10057,322,527,"lower","multiple","multi credit",6,7,8,6,6,4,6.167,"formal","color"
"369",4.2,"tenured","not minority","male","english",38,50.57471,44,87,"lower","multiple","multi credit",3,4,4,2,3,4,3.333,"not formal","color"
"370",4.5,"tenured","not minority","male","english",38,78.57143,66,84,"lower","multiple","multi credit",3,4,4,2,3,4,3.333,"not formal","color"
"371",3.9,"tenured","not minority","male","english",38,50.63291,40,79,"lower","multiple","multi credit",3,4,4,2,3,4,3.333,"not formal","color"
"372",4.4,"tenured","not minority","male","english",38,65.21739,60,92,"lower","multiple","multi credit",3,4,4,2,3,4,3.333,"not formal","color"
"373",4,"tenured","not minority","female","english",47,79.16666,19,24,"lower","single","multi credit",5,7,6,3,6,4,5.167,"formal","color"
"374",3.6,"tenured","not minority","female","english",47,56.71642,38,67,"lower","single","multi credit",5,7,6,3,6,4,5.167,"formal","color"
"375",3.7,"tenured","minority","female","english",43,45.63107,47,103,"lower","multiple","multi credit",5,6,4,2,4,4,4.167,"formal","color"
"376",2.7,"tenured","minority","female","english",43,48.94737,93,190,"lower","multiple","multi credit",5,6,4,2,4,4,4.167,"formal","color"
"377",4.5,"teaching","not minority","female","english",38,48.52941,33,68,"lower","multiple","multi credit",3,4,2,1,3,2,2.5,"not formal","color"
"378",4.4,"teaching","not minority","female","english",38,60,36,60,"lower","single","multi credit",3,4,2,1,3,2,2.5,"not formal","color"
"379",3.9,"teaching","not minority","female","english",38,45.3125,29,64,"lower","single","multi credit",3,4,2,1,3,2,2.5,"not formal","color"
"380",3.6,"teaching","not minority","female","english",38,74.19355,23,31,"lower","single","multi credit",3,4,2,1,3,2,2.5,"not formal","color"
"381",4.4,"teaching","not minority","female","english",38,58.06452,36,62,"lower","multiple","multi credit",3,4,2,1,3,2,2.5,"not formal","color"
"382",4.4,"teaching","not minority","female","english",38,81.08108,30,37,"lower","multiple","multi credit",3,4,2,1,3,2,2.5,"not formal","color"
"383",4.7,"tenured","not minority","male","english",43,76.92308,10,13,"lower","multiple","multi credit",4,4,5,4,4,5,4.333,"formal","color"
"384",4.5,"tenured","not minority","male","english",43,61.53846,8,13,"lower","multiple","multi credit",4,4,5,4,4,5,4.333,"formal","color"
"385",4.1,"tenured","not minority","male","english",43,80,12,15,"upper","single","multi credit",4,4,5,4,4,5,4.333,"formal","color"
"386",3.7,"tenured","not minority","male","english",43,82.27848,65,79,"upper","single","multi credit",4,4,5,4,4,5,4.333,"formal","color"
"387",4.3,"tenured","not minority","male","english",57,53.84615,7,13,"upper","multiple","multi credit",3,4,3,2,3,3,3,"not formal","color"
"388",3.5,"tenured","not minority","male","english",57,54.08163,53,98,"upper","multiple","multi credit",3,4,3,2,3,3,3,"not formal","color"
"389",3.7,"tenured","not minority","male","english",57,59.79382,58,97,"upper","multiple","multi credit",3,4,3,2,3,3,3,"not formal","color"
"390",4,"tenured","not minority","female","english",51,81.81818,9,11,"upper","multiple","multi credit",5,8,5,6,8,6,6.333,"not formal","color"
"391",4,"tenured","not minority","female","english",51,85.89744,67,78,"upper","multiple","multi credit",5,8,5,6,8,6,6.333,"not formal","color"
"392",3.1,"tenured","not minority","female","english",51,64.28571,36,56,"upper","multiple","multi credit",5,8,5,6,8,6,6.333,"not formal","color"
"393",4.5,"tenured","not minority","female","english",51,85,17,20,"upper","multiple","multi credit",5,8,5,6,8,6,6.333,"not formal","color"
"394",4.8,"teaching","not minority","male","english",45,70.58823,12,17,"lower","single","one credit",1,4,2,5,4,4,3.333,"not formal","color"
"395",4.2,"teaching","not minority","male","english",45,85,17,20,"lower","multiple","one credit",1,4,2,5,4,4,3.333,"not formal","color"
"396",4.9,"teaching","not minority","male","english",45,68.42105,13,19,"lower","multiple","multi credit",1,4,2,5,4,4,3.333,"not formal","color"
"397",4.8,"teaching","not minority","male","english",45,73.07692,19,26,"lower","multiple","one credit",1,4,2,5,4,4,3.333,"not formal","color"
"398",3.5,"tenured","not minority","male","english",57,92.85714,13,14,"lower","multiple","multi credit",2,3,3,2,1,6,2.833,"not formal","black&white"
"399",3.6,"tenured","not minority","male","english",57,66.66666,12,18,"lower","single","multi credit",2,3,3,2,1,6,2.833,"not formal","black&white"
"400",4.4,"tenured","not minority","male","english",57,100,12,12,"lower","single","multi credit",2,3,3,2,1,6,2.833,"not formal","black&white"
"401",3.4,"tenured","not minority","male","english",57,84.21053,16,19,"lower","multiple","multi credit",2,3,3,2,1,6,2.833,"not formal","black&white"
"402",3.9,"tenured","not minority","male","english",57,75,12,16,"lower","multiple","multi credit",2,3,3,2,1,6,2.833,"not formal","black&white"
"403",3.8,"tenured","not minority","male","english",57,87.5,14,16,"lower","multiple","multi credit",2,3,3,2,1,6,2.833,"not formal","black&white"
"404",4.8,"tenured","not minority","male","english",57,91.66666,11,12,"lower","multiple","multi credit",2,3,3,2,1,6,2.833,"not formal","black&white"
"405",4.6,"tenured","not minority","male","english",57,88.23529,15,17,"lower","multiple","multi credit",2,3,3,2,1,6,2.833,"not formal","black&white"
"406",5,"tenured","not minority","male","english",57,40,6,15,"upper","multiple","multi credit",2,3,3,2,1,6,2.833,"not formal","black&white"
"407",3.8,"tenured","not minority","male","english",57,93.75,15,16,"lower","multiple","multi credit",2,3,3,2,1,6,2.833,"not formal","black&white"
"408",4.2,"tenured","not minority","male","english",57,70.58823,12,17,"lower","multiple","multi credit",2,3,3,2,1,6,2.833,"not formal","black&white"
"409",3.3,"teaching","not minority","female","english",47,76.19048,16,21,"lower","multiple","multi credit",8,6,6,4,9,7,6.667,"not formal","black&white"
"410",4.7,"teaching","not minority","female","english",47,88.23529,15,17,"lower","multiple","one credit",8,6,6,4,9,7,6.667,"not formal","black&white"
"411",4.6,"teaching","not minority","female","english",47,100,10,10,"lower","multiple","one credit",8,6,6,4,9,7,6.667,"not formal","black&white"
"412",4.6,"teaching","not minority","female","english",47,94.11765,16,17,"lower","multiple","one credit",8,6,6,4,9,7,6.667,"not formal","black&white"
"413",4,"teaching","not minority","female","english",47,88.23529,15,17,"lower","multiple","multi credit",8,6,6,4,9,7,6.667,"not formal","black&white"
"414",4.2,"tenured","minority","female","english",54,100,18,18,"lower","single","multi credit",8,5,8,4,9,7,6.833,"not formal","black&white"
"415",4.9,"tenured","minority","female","english",54,93.75,15,16,"lower","single","multi credit",8,5,8,4,9,7,6.833,"not formal","black&white"
