replicate,scientist_work,n,p_hat
2835,Doesn't benefit,8,0.16
2836,Doesn't benefit,8,0.16
2837,Doesn't benefit,14,0.28
2838,Doesn't benefit,3,0.06
2839,Doesn't benefit,9,0.18
2840,Doesn't benefit,13,0.26
2841,Doesn't benefit,7,0.14
2842,Doesn't benefit,7,0.14
2843,Doesn't benefit,11,0.22
2844,Doesn't benefit,12,0.24
2845,Doesn't benefit,12,0.24
2846,Doesn't benefit,15,0.3
2847,Doesn't benefit,10,0.2
2848,Doesn't benefit,13,0.26
2849,Doesn't benefit,14,0.28
2850,Doesn't benefit,12,0.24
2851,Doesn't benefit,13,0.26
2852,Doesn't benefit,11,0.22
2853,Doesn't benefit,8,0.16
2854,Doesn't benefit,11,0.22
2855,Doesn't benefit,9,0.18
2856,Doesn't benefit,11,0.22
2857,Doesn't benefit,13,0.26
2858,Doesn't benefit,11,0.22
2859,Doesn't benefit,9,0.18
2860,Doesn't benefit,9,0.18
2861,Doesn't benefit,10,0.2
2862,Doesn't benefit,9,0.18
2863,Doesn't benefit,9,0.18
2864,Doesn't benefit,8,0.16
2865,Doesn't benefit,9,0.18
2866,Doesn't benefit,12,0.24
2867,Doesn't benefit,7,0.14
2868,Doesn't benefit,12,0.24
2869,Doesn't benefit,13,0.26
2870,Doesn't benefit,11,0.22
2871,Doesn't benefit,9,0.18
2872,Doesn't benefit,8,0.16
2873,Doesn't benefit,10,0.2
2874,Doesn't benefit,5,0.1
2875,Doesn't benefit,7,0.14
2876,Doesn't benefit,8,0.16
2877,Doesn't benefit,9,0.18
2878,Doesn't benefit,5,0.1
2879,Doesn't benefit,8,0.16
2880,Doesn't benefit,12,0.24
2881,Doesn't benefit,16,0.32
2882,Doesn't benefit,9,0.18
2883,Doesn't benefit,14,0.28
2884,Doesn't benefit,5,0.1
2885,Doesn't benefit,10,0.2
2886,Doesn't benefit,10,0.2
2887,Doesn't benefit,7,0.14
2888,Doesn't benefit,4,0.08
2889,Doesn't benefit,9,0.18
2890,Doesn't benefit,13,0.26
2891,Doesn't benefit,11,0.22
2892,Doesn't benefit,6,0.12
2893,Doesn't benefit,7,0.14
2894,Doesn't benefit,10,0.2
2895,Doesn't benefit,8,0.16
2896,Doesn't benefit,9,0.18
2897,Doesn't benefit,11,0.22
2898,Doesn't benefit,13,0.26
2899,Doesn't benefit,10,0.2
2900,Doesn't benefit,9,0.18
2901,Doesn't benefit,9,0.18
2902,Doesn't benefit,10,0.2
2903,Doesn't benefit,8,0.16
2904,Doesn't benefit,10,0.2
2905,Doesn't benefit,6,0.12
2906,Doesn't benefit,8,0.16
2907,Doesn't benefit,8,0.16
2908,Doesn't benefit,10,0.2
2909,Doesn't benefit,10,0.2
2910,Doesn't benefit,10,0.2
2911,Doesn't benefit,7,0.14
2912,Doesn't benefit,9,0.18
2913,Doesn't benefit,11,0.22
2914,Doesn't benefit,9,0.18
2915,Doesn't benefit,12,0.24
2916,Doesn't benefit,13,0.26
2917,Doesn't benefit,10,0.2
2918,Doesn't benefit,10,0.2
2919,Doesn't benefit,10,0.2
2920,Doesn't benefit,12,0.24
2921,Doesn't benefit,12,0.24
2922,Doesn't benefit,13,0.26
2923,Doesn't benefit,13,0.26
2924,Doesn't benefit,14,0.28
2925,Doesn't benefit,9,0.18
2926,Doesn't benefit,10,0.2
2927,Doesn't benefit,7,0.14
2928,Doesn't benefit,8,0.16
2929,Doesn't benefit,17,0.34
2930,Doesn't benefit,6,0.12
2931,Doesn't benefit,7,0.14
2932,Doesn't benefit,14,0.28
2933,Doesn't benefit,8,0.16
2934,Doesn't benefit,12,0.24
2935,Doesn't benefit,15,0.3
2936,Doesn't benefit,6,0.12
2937,Doesn't benefit,10,0.2
2938,Doesn't benefit,10,0.2
2939,Doesn't benefit,10,0.2
2940,Doesn't benefit,7,0.14
2941,Doesn't benefit,15,0.3
2942,Doesn't benefit,12,0.24
2943,Doesn't benefit,12,0.24
2944,Doesn't benefit,7,0.14
2945,Doesn't benefit,10,0.2
2946,Doesn't benefit,15,0.3
2947,Doesn't benefit,9,0.18
2948,Doesn't benefit,16,0.32
2949,Doesn't benefit,9,0.18
2950,Doesn't benefit,11,0.22
2951,Doesn't benefit,9,0.18
2952,Doesn't benefit,9,0.18
2953,Doesn't benefit,8,0.16
2954,Doesn't benefit,6,0.12
2955,Doesn't benefit,11,0.22
2956,Doesn't benefit,9,0.18
2957,Doesn't benefit,9,0.18
2958,Doesn't benefit,7,0.14
2959,Doesn't benefit,8,0.16
2960,Doesn't benefit,4,0.08
2961,Doesn't benefit,10,0.2
2962,Doesn't benefit,8,0.16
2963,Doesn't benefit,8,0.16
2964,Doesn't benefit,6,0.12
2965,Doesn't benefit,11,0.22
2966,Doesn't benefit,4,0.08
2967,Doesn't benefit,11,0.22
2968,Doesn't benefit,7,0.14
2969,Doesn't benefit,7,0.14
2970,Doesn't benefit,6,0.12
2971,Doesn't benefit,8,0.16
2972,Doesn't benefit,8,0.16
2973,Doesn't benefit,11,0.22
2974,Doesn't benefit,8,0.16
2975,Doesn't benefit,12,0.24
2976,Doesn't benefit,13,0.26
2977,Doesn't benefit,11,0.22
2978,Doesn't benefit,9,0.18
2979,Doesn't benefit,8,0.16
2980,Doesn't benefit,8,0.16
2981,Doesn't benefit,10,0.2
2982,Doesn't benefit,8,0.16
2983,Doesn't benefit,8,0.16
2984,Doesn't benefit,9,0.18
2985,Doesn't benefit,8,0.16
2986,Doesn't benefit,11,0.22
2987,Doesn't benefit,10,0.2
2988,Doesn't benefit,10,0.2
2989,Doesn't benefit,16,0.32
2990,Doesn't benefit,11,0.22
2991,Doesn't benefit,8,0.16
2992,Doesn't benefit,10,0.2
2993,Doesn't benefit,7,0.14
2994,Doesn't benefit,11,0.22
2995,Doesn't benefit,13,0.26
2996,Doesn't benefit,13,0.26
2997,Doesn't benefit,12,0.24
2998,Doesn't benefit,14,0.28
2999,Doesn't benefit,7,0.14
3000,Doesn't benefit,9,0.18
3001,Doesn't benefit,9,0.18
3002,Doesn't benefit,10,0.2
3003,Doesn't benefit,8,0.16
3004,Doesn't benefit,7,0.14
3005,Doesn't benefit,9,0.18
3006,Doesn't benefit,11,0.22
3007,Doesn't benefit,11,0.22
3008,Doesn't benefit,8,0.16
3009,Doesn't benefit,6,0.12
3010,Doesn't benefit,10,0.2
3011,Doesn't benefit,9,0.18
3012,Doesn't benefit,11,0.22
3013,Doesn't benefit,12,0.24
3014,Doesn't benefit,8,0.16
3015,Doesn't benefit,7,0.14
3016,Doesn't benefit,9,0.18
3017,Doesn't benefit,8,0.16
3018,Doesn't benefit,9,0.18
3019,Doesn't benefit,13,0.26
3020,Doesn't benefit,8,0.16
3021,Doesn't benefit,12,0.24
3022,Doesn't benefit,11,0.22
3023,Doesn't benefit,13,0.26
3024,Doesn't benefit,8,0.16
3025,Doesn't benefit,12,0.24
3026,Doesn't benefit,11,0.22
3027,Doesn't benefit,11,0.22
3028,Doesn't benefit,11,0.22
3029,Doesn't benefit,12,0.24
3030,Doesn't benefit,10,0.2
3031,Doesn't benefit,10,0.2
3032,Doesn't benefit,7,0.14
3033,Doesn't benefit,7,0.14
3034,Doesn't benefit,11,0.22
3035,Doesn't benefit,11,0.22
3036,Doesn't benefit,12,0.24
3037,Doesn't benefit,13,0.26
3038,Doesn't benefit,8,0.16
3039,Doesn't benefit,9,0.18
3040,Doesn't benefit,14,0.28
3041,Doesn't benefit,9,0.18
3042,Doesn't benefit,13,0.26
3043,Doesn't benefit,9,0.18
3044,Doesn't benefit,6,0.12
3045,Doesn't benefit,8,0.16
3046,Doesn't benefit,11,0.22
3047,Doesn't benefit,10,0.2
3048,Doesn't benefit,8,0.16
3049,Doesn't benefit,8,0.16
3050,Doesn't benefit,10,0.2
3051,Doesn't benefit,19,0.38
3052,Doesn't benefit,6,0.12
3053,Doesn't benefit,6,0.12
3054,Doesn't benefit,15,0.3
3055,Doesn't benefit,7,0.14
3056,Doesn't benefit,9,0.18
3057,Doesn't benefit,11,0.22
3058,Doesn't benefit,9,0.18
3059,Doesn't benefit,9,0.18
3060,Doesn't benefit,10,0.2
3061,Doesn't benefit,8,0.16
3062,Doesn't benefit,13,0.26
3063,Doesn't benefit,14,0.28
3064,Doesn't benefit,7,0.14
3065,Doesn't benefit,10,0.2
3066,Doesn't benefit,12,0.24
3067,Doesn't benefit,10,0.2
3068,Doesn't benefit,9,0.18
3069,Doesn't benefit,8,0.16
3070,Doesn't benefit,6,0.12
3071,Doesn't benefit,13,0.26
3072,Doesn't benefit,10,0.2
3073,Doesn't benefit,10,0.2
3074,Doesn't benefit,7,0.14
3075,Doesn't benefit,11,0.22
3076,Doesn't benefit,16,0.32
3077,Doesn't benefit,15,0.3
3078,Doesn't benefit,12,0.24
3079,Doesn't benefit,10,0.2
3080,Doesn't benefit,16,0.32
3081,Doesn't benefit,6,0.12
3082,Doesn't benefit,7,0.14
3083,Doesn't benefit,12,0.24
3084,Doesn't benefit,11,0.22
3085,Doesn't benefit,9,0.18
3086,Doesn't benefit,8,0.16
3087,Doesn't benefit,10,0.2
3088,Doesn't benefit,6,0.12
3089,Doesn't benefit,7,0.14
3090,Doesn't benefit,10,0.2
3091,Doesn't benefit,7,0.14
3092,Doesn't benefit,13,0.26
3093,Doesn't benefit,7,0.14
3094,Doesn't benefit,6,0.12
3095,Doesn't benefit,10,0.2
3096,Doesn't benefit,7,0.14
3097,Doesn't benefit,10,0.2
3098,Doesn't benefit,11,0.22
3099,Doesn't benefit,6,0.12
3100,Doesn't benefit,7,0.14
3101,Doesn't benefit,9,0.18
3102,Doesn't benefit,11,0.22
3103,Doesn't benefit,10,0.2
3104,Doesn't benefit,13,0.26
3105,Doesn't benefit,12,0.24
3106,Doesn't benefit,6,0.12
3107,Doesn't benefit,15,0.3
3108,Doesn't benefit,11,0.22
3109,Doesn't benefit,6,0.12
3110,Doesn't benefit,5,0.1
3111,Doesn't benefit,10,0.2
3112,Doesn't benefit,14,0.28
3113,Doesn't benefit,7,0.14
3114,Doesn't benefit,9,0.18
3115,Doesn't benefit,7,0.14
3116,Doesn't benefit,8,0.16
3117,Doesn't benefit,8,0.16
3118,Doesn't benefit,12,0.24
3119,Doesn't benefit,8,0.16
3120,Doesn't benefit,12,0.24
3121,Doesn't benefit,9,0.18
3122,Doesn't benefit,11,0.22
3123,Doesn't benefit,10,0.2
3124,Doesn't benefit,9,0.18
3125,Doesn't benefit,9,0.18
3126,Doesn't benefit,12,0.24
3127,Doesn't benefit,10,0.2
3128,Doesn't benefit,10,0.2
3129,Doesn't benefit,6,0.12
3130,Doesn't benefit,9,0.18
3131,Doesn't benefit,10,0.2
3132,Doesn't benefit,11,0.22
3133,Doesn't benefit,5,0.1
3134,Doesn't benefit,10,0.2
3135,Doesn't benefit,14,0.28
3136,Doesn't benefit,7,0.14
3137,Doesn't benefit,13,0.26
3138,Doesn't benefit,10,0.2
3139,Doesn't benefit,9,0.18
3140,Doesn't benefit,14,0.28
3141,Doesn't benefit,4,0.08
3142,Doesn't benefit,14,0.28
3143,Doesn't benefit,13,0.26
3144,Doesn't benefit,14,0.28
3145,Doesn't benefit,4,0.08
3146,Doesn't benefit,15,0.3
3147,Doesn't benefit,8,0.16
3148,Doesn't benefit,13,0.26
3149,Doesn't benefit,3,0.06
3150,Doesn't benefit,11,0.22
3151,Doesn't benefit,11,0.22
3152,Doesn't benefit,14,0.28
3153,Doesn't benefit,11,0.22
3154,Doesn't benefit,7,0.14
3155,Doesn't benefit,9,0.18
3156,Doesn't benefit,10,0.2
3157,Doesn't benefit,9,0.18
3158,Doesn't benefit,11,0.22
3159,Doesn't benefit,11,0.22
3160,Doesn't benefit,8,0.16
3161,Doesn't benefit,7,0.14
3162,Doesn't benefit,12,0.24
3163,Doesn't benefit,8,0.16
3164,Doesn't benefit,13,0.26
3165,Doesn't benefit,11,0.22
3166,Doesn't benefit,12,0.24
3167,Doesn't benefit,14,0.28
3168,Doesn't benefit,11,0.22
3169,Doesn't benefit,12,0.24
3170,Doesn't benefit,12,0.24
3171,Doesn't benefit,14,0.28
3172,Doesn't benefit,10,0.2
3173,Doesn't benefit,10,0.2
3174,Doesn't benefit,13,0.26
3175,Doesn't benefit,9,0.18
3176,Doesn't benefit,10,0.2
3177,Doesn't benefit,15,0.3
3178,Doesn't benefit,13,0.26
3179,Doesn't benefit,16,0.32
3180,Doesn't benefit,11,0.22
3181,Doesn't benefit,10,0.2
3182,Doesn't benefit,10,0.2
3183,Doesn't benefit,9,0.18
3184,Doesn't benefit,16,0.32
3185,Doesn't benefit,11,0.22
3186,Doesn't benefit,11,0.22
3187,Doesn't benefit,12,0.24
3188,Doesn't benefit,11,0.22
3189,Doesn't benefit,16,0.32
3190,Doesn't benefit,9,0.18
3191,Doesn't benefit,10,0.2
3192,Doesn't benefit,13,0.26
3193,Doesn't benefit,6,0.12
3194,Doesn't benefit,13,0.26
3195,Doesn't benefit,10,0.2
3196,Doesn't benefit,14,0.28
3197,Doesn't benefit,11,0.22
3198,Doesn't benefit,9,0.18
3199,Doesn't benefit,11,0.22
3200,Doesn't benefit,12,0.24
3201,Doesn't benefit,7,0.14
3202,Doesn't benefit,14,0.28
3203,Doesn't benefit,6,0.12
3204,Doesn't benefit,14,0.28
3205,Doesn't benefit,8,0.16
3206,Doesn't benefit,10,0.2
3207,Doesn't benefit,11,0.22
3208,Doesn't benefit,10,0.2
3209,Doesn't benefit,15,0.3
3210,Doesn't benefit,8,0.16
3211,Doesn't benefit,12,0.24
3212,Doesn't benefit,12,0.24
3213,Doesn't benefit,5,0.1
3214,Doesn't benefit,8,0.16
3215,Doesn't benefit,8,0.16
3216,Doesn't benefit,18,0.36
3217,Doesn't benefit,9,0.18
3218,Doesn't benefit,7,0.14
3219,Doesn't benefit,4,0.08
3220,Doesn't benefit,10,0.2
3221,Doesn't benefit,12,0.24
3222,Doesn't benefit,12,0.24
3223,Doesn't benefit,6,0.12
3224,Doesn't benefit,12,0.24
3225,Doesn't benefit,7,0.14
3226,Doesn't benefit,9,0.18
3227,Doesn't benefit,10,0.2
3228,Doesn't benefit,8,0.16
3229,Doesn't benefit,8,0.16
3230,Doesn't benefit,8,0.16
3231,Doesn't benefit,8,0.16
3232,Doesn't benefit,10,0.2
3233,Doesn't benefit,11,0.22
3234,Doesn't benefit,11,0.22
3235,Doesn't benefit,5,0.1
3236,Doesn't benefit,10,0.2
3237,Doesn't benefit,9,0.18
3238,Doesn't benefit,6,0.12
3239,Doesn't benefit,10,0.2
3240,Doesn't benefit,14,0.28
3241,Doesn't benefit,7,0.14
3242,Doesn't benefit,9,0.18
3243,Doesn't benefit,9,0.18
3244,Doesn't benefit,7,0.14
3245,Doesn't benefit,8,0.16
3246,Doesn't benefit,11,0.22
3247,Doesn't benefit,12,0.24
3248,Doesn't benefit,7,0.14
3249,Doesn't benefit,10,0.2
3250,Doesn't benefit,4,0.08
3251,Doesn't benefit,9,0.18
3252,Doesn't benefit,7,0.14
3253,Doesn't benefit,10,0.2
3254,Doesn't benefit,7,0.14
3255,Doesn't benefit,12,0.24
3256,Doesn't benefit,14,0.28
3257,Doesn't benefit,7,0.14
3258,Doesn't benefit,7,0.14
3259,Doesn't benefit,10,0.2
3260,Doesn't benefit,11,0.22
3261,Doesn't benefit,11,0.22
3262,Doesn't benefit,16,0.32
3263,Doesn't benefit,13,0.26
3264,Doesn't benefit,10,0.2
3265,Doesn't benefit,15,0.3
3266,Doesn't benefit,9,0.18
3267,Doesn't benefit,9,0.18
3268,Doesn't benefit,11,0.22
3269,Doesn't benefit,8,0.16
3270,Doesn't benefit,9,0.18
3271,Doesn't benefit,9,0.18
3272,Doesn't benefit,9,0.18
3273,Doesn't benefit,12,0.24
3274,Doesn't benefit,8,0.16
3275,Doesn't benefit,15,0.3
3276,Doesn't benefit,14,0.28
3277,Doesn't benefit,11,0.22
3278,Doesn't benefit,10,0.2
3279,Doesn't benefit,13,0.26
3280,Doesn't benefit,9,0.18
3281,Doesn't benefit,11,0.22
3282,Doesn't benefit,5,0.1
3283,Doesn't benefit,9,0.18
3284,Doesn't benefit,4,0.08
3285,Doesn't benefit,16,0.32
3286,Doesn't benefit,10,0.2
3287,Doesn't benefit,9,0.18
3288,Doesn't benefit,14,0.28
3289,Doesn't benefit,14,0.28
3290,Doesn't benefit,12,0.24
3291,Doesn't benefit,10,0.2
3292,Doesn't benefit,9,0.18
3293,Doesn't benefit,15,0.3
3294,Doesn't benefit,10,0.2
3295,Doesn't benefit,12,0.24
3296,Doesn't benefit,11,0.22
3297,Doesn't benefit,9,0.18
3298,Doesn't benefit,11,0.22
3299,Doesn't benefit,14,0.28
3300,Doesn't benefit,9,0.18
3301,Doesn't benefit,8,0.16
3302,Doesn't benefit,6,0.12
3303,Doesn't benefit,10,0.2
3304,Doesn't benefit,8,0.16
3305,Doesn't benefit,11,0.22
3306,Doesn't benefit,9,0.18
3307,Doesn't benefit,6,0.12
3308,Doesn't benefit,8,0.16
3309,Doesn't benefit,5,0.1
3310,Doesn't benefit,9,0.18
3311,Doesn't benefit,8,0.16
3312,Doesn't benefit,9,0.18
3313,Doesn't benefit,8,0.16
3314,Doesn't benefit,9,0.18
3315,Doesn't benefit,7,0.14
3316,Doesn't benefit,8,0.16
3317,Doesn't benefit,8,0.16
3318,Doesn't benefit,7,0.14
3319,Doesn't benefit,9,0.18
3320,Doesn't benefit,5,0.1
3321,Doesn't benefit,11,0.22
3322,Doesn't benefit,9,0.18
3323,Doesn't benefit,12,0.24
3324,Doesn't benefit,9,0.18
3325,Doesn't benefit,9,0.18
3326,Doesn't benefit,10,0.2
3327,Doesn't benefit,9,0.18
3328,Doesn't benefit,13,0.26
3329,Doesn't benefit,11,0.22
3330,Doesn't benefit,9,0.18
3331,Doesn't benefit,8,0.16
3332,Doesn't benefit,14,0.28
3333,Doesn't benefit,10,0.2
3334,Doesn't benefit,7,0.14
3335,Doesn't benefit,8,0.16
3336,Doesn't benefit,9,0.18
3337,Doesn't benefit,7,0.14
3338,Doesn't benefit,11,0.22
3339,Doesn't benefit,10,0.2
3340,Doesn't benefit,11,0.22
3341,Doesn't benefit,3,0.06
3342,Doesn't benefit,12,0.24
3343,Doesn't benefit,9,0.18
3344,Doesn't benefit,7,0.14
3345,Doesn't benefit,11,0.22
3346,Doesn't benefit,12,0.24
3347,Doesn't benefit,13,0.26
3348,Doesn't benefit,11,0.22
3349,Doesn't benefit,9,0.18
3350,Doesn't benefit,8,0.16
3351,Doesn't benefit,13,0.26
3352,Doesn't benefit,12,0.24
3353,Doesn't benefit,13,0.26
3354,Doesn't benefit,10,0.2
3355,Doesn't benefit,8,0.16
3356,Doesn't benefit,9,0.18
3357,Doesn't benefit,10,0.2
3358,Doesn't benefit,11,0.22
3359,Doesn't benefit,14,0.28
3360,Doesn't benefit,10,0.2
3361,Doesn't benefit,9,0.18
3362,Doesn't benefit,13,0.26
3363,Doesn't benefit,12,0.24
3364,Doesn't benefit,9,0.18
3365,Doesn't benefit,9,0.18
3366,Doesn't benefit,5,0.1
3367,Doesn't benefit,14,0.28
3368,Doesn't benefit,12,0.24
3369,Doesn't benefit,10,0.2
3370,Doesn't benefit,8,0.16
3371,Doesn't benefit,16,0.32
3372,Doesn't benefit,9,0.18
3373,Doesn't benefit,6,0.12
3374,Doesn't benefit,11,0.22
3375,Doesn't benefit,11,0.22
3376,Doesn't benefit,14,0.28
3377,Doesn't benefit,10,0.2
3378,Doesn't benefit,6,0.12
3379,Doesn't benefit,11,0.22
3380,Doesn't benefit,6,0.12
3381,Doesn't benefit,13,0.26
3382,Doesn't benefit,4,0.08
3383,Doesn't benefit,10,0.2
3384,Doesn't benefit,6,0.12
3385,Doesn't benefit,10,0.2
3386,Doesn't benefit,10,0.2
3387,Doesn't benefit,12,0.24
3388,Doesn't benefit,6,0.12
3389,Doesn't benefit,11,0.22
3390,Doesn't benefit,15,0.3
3391,Doesn't benefit,6,0.12
3392,Doesn't benefit,8,0.16
3393,Doesn't benefit,10,0.2
3394,Doesn't benefit,15,0.3
3395,Doesn't benefit,10,0.2
3396,Doesn't benefit,7,0.14
3397,Doesn't benefit,12,0.24
3398,Doesn't benefit,10,0.2
3399,Doesn't benefit,7,0.14
3400,Doesn't benefit,8,0.16
3401,Doesn't benefit,10,0.2
3402,Doesn't benefit,12,0.24
3403,Doesn't benefit,8,0.16
3404,Doesn't benefit,13,0.26
3405,Doesn't benefit,10,0.2
3406,Doesn't benefit,10,0.2
3407,Doesn't benefit,9,0.18
3408,Doesn't benefit,12,0.24
3409,Doesn't benefit,12,0.24
3410,Doesn't benefit,11,0.22
3411,Doesn't benefit,6,0.12
3412,Doesn't benefit,14,0.28
3413,Doesn't benefit,15,0.3
3414,Doesn't benefit,9,0.18
3415,Doesn't benefit,11,0.22
3416,Doesn't benefit,10,0.2
3417,Doesn't benefit,10,0.2
3418,Doesn't benefit,12,0.24
3419,Doesn't benefit,10,0.2
3420,Doesn't benefit,10,0.2
3421,Doesn't benefit,14,0.28
3422,Doesn't benefit,12,0.24
3423,Doesn't benefit,9,0.18
3424,Doesn't benefit,12,0.24
3425,Doesn't benefit,8,0.16
3426,Doesn't benefit,8,0.16
3427,Doesn't benefit,8,0.16
3428,Doesn't benefit,12,0.24
3429,Doesn't benefit,10,0.2
3430,Doesn't benefit,8,0.16
3431,Doesn't benefit,7,0.14
3432,Doesn't benefit,8,0.16
3433,Doesn't benefit,9,0.18
3434,Doesn't benefit,11,0.22
3435,Doesn't benefit,10,0.2
3436,Doesn't benefit,7,0.14
3437,Doesn't benefit,10,0.2
3438,Doesn't benefit,7,0.14
3439,Doesn't benefit,14,0.28
3440,Doesn't benefit,7,0.14
3441,Doesn't benefit,9,0.18
3442,Doesn't benefit,8,0.16
3443,Doesn't benefit,11,0.22
3444,Doesn't benefit,12,0.24
3445,Doesn't benefit,12,0.24
3446,Doesn't benefit,11,0.22
3447,Doesn't benefit,7,0.14
3448,Doesn't benefit,14,0.28
3449,Doesn't benefit,16,0.32
3450,Doesn't benefit,11,0.22
3451,Doesn't benefit,7,0.14
3452,Doesn't benefit,10,0.2
3453,Doesn't benefit,12,0.24
3454,Doesn't benefit,14,0.28
3455,Doesn't benefit,12,0.24
3456,Doesn't benefit,10,0.2
3457,Doesn't benefit,6,0.12
3458,Doesn't benefit,14,0.28
3459,Doesn't benefit,11,0.22
3460,Doesn't benefit,9,0.18
3461,Doesn't benefit,10,0.2
3462,Doesn't benefit,8,0.16
3463,Doesn't benefit,8,0.16
3464,Doesn't benefit,11,0.22
3465,Doesn't benefit,10,0.2
3466,Doesn't benefit,18,0.36
3467,Doesn't benefit,8,0.16
3468,Doesn't benefit,9,0.18
3469,Doesn't benefit,4,0.08
3470,Doesn't benefit,10,0.2
3471,Doesn't benefit,11,0.22
3472,Doesn't benefit,9,0.18
3473,Doesn't benefit,8,0.16
3474,Doesn't benefit,6,0.12
3475,Doesn't benefit,6,0.12
3476,Doesn't benefit,12,0.24
3477,Doesn't benefit,11,0.22
3478,Doesn't benefit,12,0.24
3479,Doesn't benefit,6,0.12
3480,Doesn't benefit,17,0.34
3481,Doesn't benefit,12,0.24
3482,Doesn't benefit,8,0.16
3483,Doesn't benefit,11,0.22
3484,Doesn't benefit,6,0.12
3485,Doesn't benefit,8,0.16
3486,Doesn't benefit,13,0.26
3487,Doesn't benefit,8,0.16
3488,Doesn't benefit,7,0.14
3489,Doesn't benefit,9,0.18
3490,Doesn't benefit,15,0.3
3491,Doesn't benefit,7,0.14
3492,Doesn't benefit,10,0.2
3493,Doesn't benefit,5,0.1
3494,Doesn't benefit,8,0.16
3495,Doesn't benefit,5,0.1
3496,Doesn't benefit,9,0.18
3497,Doesn't benefit,7,0.14
3498,Doesn't benefit,14,0.28
3499,Doesn't benefit,17,0.34
3500,Doesn't benefit,10,0.2
3501,Doesn't benefit,10,0.2
3502,Doesn't benefit,8,0.16
3503,Doesn't benefit,10,0.2
3504,Doesn't benefit,12,0.24
3505,Doesn't benefit,10,0.2
3506,Doesn't benefit,13,0.26
3507,Doesn't benefit,12,0.24
3508,Doesn't benefit,7,0.14
3509,Doesn't benefit,12,0.24
3510,Doesn't benefit,5,0.1
3511,Doesn't benefit,12,0.24
3512,Doesn't benefit,6,0.12
3513,Doesn't benefit,5,0.1
3514,Doesn't benefit,8,0.16
3515,Doesn't benefit,9,0.18
3516,Doesn't benefit,12,0.24
3517,Doesn't benefit,9,0.18
3518,Doesn't benefit,6,0.12
3519,Doesn't benefit,10,0.2
3520,Doesn't benefit,13,0.26
3521,Doesn't benefit,5,0.1
3522,Doesn't benefit,8,0.16
3523,Doesn't benefit,10,0.2
3524,Doesn't benefit,10,0.2
3525,Doesn't benefit,12,0.24
3526,Doesn't benefit,9,0.18
3527,Doesn't benefit,8,0.16
3528,Doesn't benefit,9,0.18
3529,Doesn't benefit,10,0.2
3530,Doesn't benefit,8,0.16
3531,Doesn't benefit,10,0.2
3532,Doesn't benefit,19,0.38
3533,Doesn't benefit,8,0.16
3534,Doesn't benefit,8,0.16
3535,Doesn't benefit,12,0.24
3536,Doesn't benefit,8,0.16
3537,Doesn't benefit,10,0.2
3538,Doesn't benefit,3,0.06
3539,Doesn't benefit,9,0.18
3540,Doesn't benefit,9,0.18
3541,Doesn't benefit,8,0.16
3542,Doesn't benefit,8,0.16
3543,Doesn't benefit,8,0.16
3544,Doesn't benefit,9,0.18
3545,Doesn't benefit,11,0.22
3546,Doesn't benefit,12,0.24
3547,Doesn't benefit,10,0.2
3548,Doesn't benefit,12,0.24
3549,Doesn't benefit,13,0.26
3550,Doesn't benefit,10,0.2
3551,Doesn't benefit,11,0.22
3552,Doesn't benefit,8,0.16
3553,Doesn't benefit,10,0.2
3554,Doesn't benefit,10,0.2
3555,Doesn't benefit,9,0.18
3556,Doesn't benefit,8,0.16
3557,Doesn't benefit,11,0.22
3558,Doesn't benefit,12,0.24
3559,Doesn't benefit,12,0.24
3560,Doesn't benefit,9,0.18
3561,Doesn't benefit,7,0.14
3562,Doesn't benefit,10,0.2
3563,Doesn't benefit,14,0.28
3564,Doesn't benefit,9,0.18
3565,Doesn't benefit,10,0.2
3566,Doesn't benefit,14,0.28
3567,Doesn't benefit,9,0.18
3568,Doesn't benefit,9,0.18
3569,Doesn't benefit,11,0.22
3570,Doesn't benefit,7,0.14
3571,Doesn't benefit,9,0.18
3572,Doesn't benefit,8,0.16
3573,Doesn't benefit,16,0.32
3574,Doesn't benefit,16,0.32
3575,Doesn't benefit,9,0.18
3576,Doesn't benefit,10,0.2
3577,Doesn't benefit,14,0.28
3578,Doesn't benefit,9,0.18
3579,Doesn't benefit,10,0.2
3580,Doesn't benefit,12,0.24
3581,Doesn't benefit,12,0.24
3582,Doesn't benefit,7,0.14
3583,Doesn't benefit,10,0.2
3584,Doesn't benefit,9,0.18
3585,Doesn't benefit,11,0.22
3586,Doesn't benefit,6,0.12
3587,Doesn't benefit,13,0.26
3588,Doesn't benefit,8,0.16
3589,Doesn't benefit,8,0.16
3590,Doesn't benefit,3,0.06
3591,Doesn't benefit,8,0.16
3592,Doesn't benefit,4,0.08
3593,Doesn't benefit,8,0.16
3594,Doesn't benefit,9,0.18
3595,Doesn't benefit,16,0.32
3596,Doesn't benefit,14,0.28
3597,Doesn't benefit,10,0.2
3598,Doesn't benefit,11,0.22
3599,Doesn't benefit,15,0.3
3600,Doesn't benefit,15,0.3
3601,Doesn't benefit,6,0.12
3602,Doesn't benefit,5,0.1
3603,Doesn't benefit,8,0.16
3604,Doesn't benefit,8,0.16
3605,Doesn't benefit,7,0.14
3606,Doesn't benefit,11,0.22
3607,Doesn't benefit,11,0.22
3608,Doesn't benefit,10,0.2
3609,Doesn't benefit,11,0.22
3610,Doesn't benefit,12,0.24
